,paperId,url
0,ff53cb49cb18e71e622fce7d96692e813630e878,https://www.semanticscholar.org/paper/ff53cb49cb18e71e622fce7d96692e813630e878
1,fb73b93de3734a996829caf31e4310e0054e9c6b,https://www.semanticscholar.org/paper/fb73b93de3734a996829caf31e4310e0054e9c6b
2,0d19245a27bc65a87a8014d5b8a66fb514c8ff0b,https://www.semanticscholar.org/paper/0d19245a27bc65a87a8014d5b8a66fb514c8ff0b
3,a83222323c826d6d57f59a830fb52afcabdb6463,https://www.semanticscholar.org/paper/a83222323c826d6d57f59a830fb52afcabdb6463
4,8e787e925eeb7ad735a228b2b1e8dd6d9620be83,https://www.semanticscholar.org/paper/8e787e925eeb7ad735a228b2b1e8dd6d9620be83
5,47bb406dbbc9da0b7a7cff7549e229691a1a9e05,https://www.semanticscholar.org/paper/47bb406dbbc9da0b7a7cff7549e229691a1a9e05
6,5e85955bf6c68f268647c0a9bc690a1aab67c90c,https://www.semanticscholar.org/paper/5e85955bf6c68f268647c0a9bc690a1aab67c90c
7,386f4bc398626b5b1c4ed7c06a3f923ddb3822bf,https://www.semanticscholar.org/paper/386f4bc398626b5b1c4ed7c06a3f923ddb3822bf
8,c3f9734faf79f6d93a19cbf192b00234812d455a,https://www.semanticscholar.org/paper/c3f9734faf79f6d93a19cbf192b00234812d455a
9,0c64d6de286a074c60ff1355dcf5f23745d76ab5,https://www.semanticscholar.org/paper/0c64d6de286a074c60ff1355dcf5f23745d76ab5
10,051f208bad9ec4dda1b72edcaac5259beecc86ca,https://www.semanticscholar.org/paper/051f208bad9ec4dda1b72edcaac5259beecc86ca
11,0d3cc1cd85a23d74e7200ebba83f9156bf1f382c,https://www.semanticscholar.org/paper/0d3cc1cd85a23d74e7200ebba83f9156bf1f382c
12,f0f80cb103a413d482667414c35d9725a7bc4268,https://www.semanticscholar.org/paper/f0f80cb103a413d482667414c35d9725a7bc4268
13,1dc9adaf2e0fab7675edb88ea5d9a3b7cc3be4a3,https://www.semanticscholar.org/paper/1dc9adaf2e0fab7675edb88ea5d9a3b7cc3be4a3
14,b67435ea3b53d7e2903b453b4791d813a829e1b1,https://www.semanticscholar.org/paper/b67435ea3b53d7e2903b453b4791d813a829e1b1
15,dac3a172b504f4e33c029655e9befb3386e5f63a,https://www.semanticscholar.org/paper/dac3a172b504f4e33c029655e9befb3386e5f63a
16,b887c00144d77907320cee338826825a251be7eb,https://www.semanticscholar.org/paper/b887c00144d77907320cee338826825a251be7eb
17,02eaaf87f9cae34cca398fed146079e6eeb1f868,https://www.semanticscholar.org/paper/02eaaf87f9cae34cca398fed146079e6eeb1f868
18,494be02cef04750439525c756233cad193a22cce,https://www.semanticscholar.org/paper/494be02cef04750439525c756233cad193a22cce
19,4634aaf712d36b8677abec28f55c2fb6403a227a,https://www.semanticscholar.org/paper/4634aaf712d36b8677abec28f55c2fb6403a227a
20,9eb4cd1a4b4717c97c47e3dc4563a75779ae9390,https://www.semanticscholar.org/paper/9eb4cd1a4b4717c97c47e3dc4563a75779ae9390
21,89b22bcf1f4717acd95318b92070f8036c3004bf,https://www.semanticscholar.org/paper/89b22bcf1f4717acd95318b92070f8036c3004bf
22,273430886ac8ca6b3be562a94fa33006b0a5c71a,https://www.semanticscholar.org/paper/273430886ac8ca6b3be562a94fa33006b0a5c71a
23,8068195a216b357b40a6cb460bd99a0d8ad98772,https://www.semanticscholar.org/paper/8068195a216b357b40a6cb460bd99a0d8ad98772
24,f3c54c5c12f637325d322d387ca7904a0a188b8e,https://www.semanticscholar.org/paper/f3c54c5c12f637325d322d387ca7904a0a188b8e
25,4f8d648c52edf74e41b0996128aa536e13cc7e82,https://www.semanticscholar.org/paper/4f8d648c52edf74e41b0996128aa536e13cc7e82
26,d47a682723f710395454687319bb55635e653105,https://www.semanticscholar.org/paper/d47a682723f710395454687319bb55635e653105
27,95cd83603a0d2b6918a8e34a5637a8f382da96f5,https://www.semanticscholar.org/paper/95cd83603a0d2b6918a8e34a5637a8f382da96f5
28,d37234b062b448966288c1b369b6af8f0e073979,https://www.semanticscholar.org/paper/d37234b062b448966288c1b369b6af8f0e073979
29,b5b68f25108cce284d4f5e6aa16fbdae07b784a0,https://www.semanticscholar.org/paper/b5b68f25108cce284d4f5e6aa16fbdae07b784a0
30,4cd7eb540df7dd90ac5395855f6d76a5567f282c,https://www.semanticscholar.org/paper/4cd7eb540df7dd90ac5395855f6d76a5567f282c
